,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1880,417,0,0,404,4
stairs,80,1340,0,0,121,7
static,0,12,1027,1126,200,1260
eat_drink,0,5,870,4397,42,1995
sports,133,516,32,29,2964,277
upper_body,11,130,1332,3321,685,2746
