,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,2000,525,2,0,137,5
stairs,142,917,0,0,287,1
static,0,4,1116,1274,55,779
eat_drink,0,0,887,4639,20,2252
sports,78,185,4,209,2785,858
upper_body,0,4,1643,2890,398,3042
