,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1023,253,0,0,227,33
stairs,72,271,0,4,369,26
static,2,0,39,1516,22,54
eat_drink,12,6,15,3800,154,44
sports,50,42,26,181,1629,302
upper_body,1,2,107,2370,211,787
