,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1276,677,0,0,1084,48
stairs,114,964,4,6,537,128
static,0,3,868,1240,41,443
eat_drink,0,3,2262,2927,551,1553
sports,56,150,204,197,3011,885
upper_body,2,38,1411,2521,796,3309
