,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,775,369,0,5,356,38
stairs,26,486,0,7,319,37
static,0,0,14,1172,9,100
eat_drink,0,0,12,3319,14,304
sports,4,146,14,97,1568,421
upper_body,0,24,8,1650,281,2073
