,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,707,86,0,0,105,1
stairs,20,420,0,0,37,36
static,0,0,364,338,13,489
eat_drink,1,0,119,1380,4,873
sports,34,77,41,19,1067,139
upper_body,0,5,180,1317,61,1178
