,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1157,46,0,1,85,46
stairs,246,137,0,1,280,9
static,0,0,38,1260,92,225
eat_drink,1,0,36,3512,21,419
sports,149,12,1,101,1500,205
upper_body,0,9,74,2237,219,1442
