,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,2297,159,0,1,239,3
stairs,129,793,0,2,419,2
static,5,12,88,1132,136,2083
eat_drink,5,15,53,2743,86,4916
sports,153,167,2,17,3138,236
upper_body,139,21,35,1014,568,6333
