,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,2105,500,1,0,463,16
stairs,131,839,12,11,721,39
static,1,1,525,1179,82,807
eat_drink,2,4,1735,3081,448,2026
sports,57,97,216,148,3146,839
upper_body,3,47,1047,2556,879,3545
