,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1031,492,0,8,1353,201
stairs,25,596,2,16,1010,104
static,0,3,1136,1067,109,280
eat_drink,0,1,3099,3232,95,869
sports,6,212,117,235,3024,909
upper_body,0,32,2681,1789,585,2990
