,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,378,464,0,3,386,104
stairs,1,555,0,0,114,3
static,0,58,267,577,39,674
eat_drink,0,2,294,1350,30,2313
sports,7,182,1,2,1302,474
upper_body,0,21,500,1471,229,1760
