,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,541,130,0,0,237,51
stairs,37,266,1,0,122,2
static,0,0,242,547,10,230
eat_drink,0,0,338,1348,4,888
sports,4,32,38,25,1140,181
upper_body,0,20,269,1179,256,898
