,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,2067,199,1,4,380,18
stairs,124,787,0,0,434,2
static,2,3,888,1542,71,722
eat_drink,0,1,913,4994,140,1750
sports,56,149,182,33,3148,551
upper_body,0,1,1080,2356,262,4278
